Line,Direction,Source,Destintation,Time (mins)
Overground,Westbound,ACTON CENTRAL,SOUTH ACTON,3
Overground,Eastbound,ACTON CENTRAL,WILLESDEN JUNCTION,3
Overground,Westbound,BRONDESBURY,BRONDESBURY PARK,3
Overground,Eastbound,BRONDESBURY,WEST HAMPSTEAD,3
Overground,Eastbound,BRONDESBURY PARK,BRONDESBURY,3
Overground,Westbound,BRONDESBURY PARK,KENSAL RISE,3
Overground,Westbound,CALEDONIAN ROAD & BARNSBURY,CAMDEN ROAD,3
Overground,Eastbound,CALEDONIAN ROAD & BARNSBURY,HIGHBURY,3
Overground,Eastbound,CAMDEN ROAD,CALEDONIAN ROAD & BARNSBURY,3
Overground,Westbound,CAMDEN ROAD,KENTISH TOWN WEST,3
Overground,Eastbound,CANONBURY,DALSTON KINGSLAND,3
Overground,Westbound,CANONBURY,HIGHBURY,3
Overground,Westbound,DALSTON KINGSLAND,CANONBURY,3
Overground,Eastbound,DALSTON KINGSLAND,HACKNEY CENTRAL,3
Overground,Eastbound,FINCHLEY ROAD & FROGNAL,HAMPSTEAD HEATH,3
Overground,Westbound,FINCHLEY ROAD & FROGNAL,WEST HAMPSTEAD,3
Overground,Westbound,GOSPEL OAK,HAMPSTEAD HEATH,3
Overground,Eastbound,GOSPEL OAK,KENTISH TOWN WEST,3
Overground,Westbound,GUNNERSBURY,KEW GARDENS,3
Overground,Eastbound,GUNNERSBURY,SOUTH ACTON,3
Overground,Westbound,HACKNEY CENTRAL,DALSTON KINGSLAND,3
Overground,Eastbound,HACKNEY CENTRAL,HOMERTON,3
Overground,Westbound,HACKNEY WICK,HOMERTON,3
Overground,Eastbound,HACKNEY WICK,STRATFORD,3
Overground,Westbound,HAMPSTEAD HEATH,FINCHLEY ROAD & FROGNAL,3
Overground,Eastbound,HAMPSTEAD HEATH,GOSPEL OAK,3
Overground,Westbound,HIGHBURY,CALEDONIAN ROAD & BARNSBURY,3
Overground,Eastbound,HIGHBURY,CANONBURY,3
Overground,Westbound,HOMERTON,HACKNEY CENTRAL,3
Overground,Eastbound,HOMERTON,HACKNEY WICK,3
Overground,Eastbound,KENSAL RISE,BRONDESBURY PARK,3
Overground,Westbound,KENSAL RISE,WILLESDEN JUNCTION,3
Overground,Eastbound,KENTISH TOWN WEST,CAMDEN ROAD,3
Overground,Westbound,KENTISH TOWN WEST,GOSPEL OAK,3
Overground,Eastbound,KEW GARDENS,GUNNERSBURY,3
Overground,Westbound,KEW GARDENS,RICHMOND,3
Overground,Eastbound,RICHMOND,KEW GARDENS,3
Overground,Eastbound,SOUTH ACTON,ACTON CENTRAL,3
Overground,Westbound,SOUTH ACTON,GUNNERSBURY,3
Overground,Westbound,STRATFORD,HACKNEY WICK,3
Overground,Westbound,WEST HAMPSTEAD,BRONDESBURY,3
Overground,Eastbound,WEST HAMPSTEAD,FINCHLEY ROAD & FROGNAL,3
Overground,Westbound,WILLESDEN JUNCTION,ACTON CENTRAL,3
Overground,Eastbound,WILLESDEN JUNCTION,KENSAL RISE,3
